,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
1062,HT2010,Program,Kandidatprogram i latinamerikastudier med inriktning mot spanska,SU-26376,Stockholms universitet,118,26,18,85,8,27,4,25,20,82,2,5,*,*,*
1063,HT2010,Program,Kandidatprogram i mellanöstern- och nordafrikastudier,SU-28406,Stockholms universitet,87,8,3,48,3,30,3,15,2,60,1,3,*,*,*
1064,HT2010,Program,Kandidatprogram i arabiska med inriktning mot mellanöstern- och nordafrikastudier,SU-28407,Stockholms universitet,105,22,12,56,8,40,5,22,14,70,1,4,*,*,*
1065,HT2010,Program,Juristprogrammet,SU-29918,Stockholms universitet,6333,1730,1045,3775,656,2468,329,838,1273,5211,99,194,21.10,21.15,1.50
1066,HT2010,Program,Juristprogrammet,SU-29918,Stockholms universitet,6333,1730,1045,3775,656,2468,329,838,1273,5211,99,194,21.10,21.15,1.50
1067,HT2010,Program,Kandidatprogram i företagsekonomi med inriktning mot marknadsföring och management,SU-31406,Stockholms universitet,3185,562,322,1646,218,1438,77,342,457,2698,6,44,19.85,19.70,1.30
1068,HT2010,Program,Kandidatprogram i företagsekonomi med inriktning mot marknadsföring och management,SU-31406,Stockholms universitet,3185,562,322,1646,218,1438,77,342,457,2698,6,44,19.85,19.70,1.30
1069,HT2010,Program,Civilekonomprogrammet,SU-31408,Stockholms universitet,4942,1319,627,2265,670,2560,166,465,1104,4293,27,67,20.38,20.51,1.50
1070,HT2010,Program,Civilekonomprogrammet,SU-31408,Stockholms universitet,4942,1319,627,2265,670,2560,166,465,1104,4293,27,67,20.38,20.51,1.50
1071,HT2010,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31410,Stockholms universitet,1792,225,100,817,123,920,55,245,159,1448,9,44,19.33,19.28,1.30
1072,HT2010,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31410,Stockholms universitet,1792,225,100,817,123,920,55,245,159,1448,9,44,19.33,19.28,1.30
1073,HT2010,Program,Kandidatprogram i kulturgeografi med omvärldsanalys,SU-32251,Stockholms universitet,220,31,14,124,15,82,5,47,23,155,1,4,*,*,*
1074,HT2010,Program,Kandidatprogram i kulturgeografi med omvärldsanalys,SU-32251,Stockholms universitet,220,31,14,124,15,82,5,47,23,155,1,4,*,*,*
1075,HT2010,Program,Samhällsplanerarprogrammet,SU-32253,Stockholms universitet,600,80,38,314,38,265,24,112,50,447,2,20,13.67,15.75,0.40
1076,HT2010,Program,Samhällsplanerarprogrammet,SU-32253,Stockholms universitet,600,80,38,314,38,265,24,112,50,447,2,20,13.67,15.75,0.40
1077,HT2010,Program,Kandidatprogram i matematik och ekonomi,SU-33198,Stockholms universitet,470,53,19,189,31,264,9,64,41,381,0,8,15.00,15.00,0.70
1078,HT2010,Program,Kandidatprogram i matematik och ekonomi,SU-33198,Stockholms universitet,470,53,19,189,31,264,9,64,41,381,0,8,15.00,15.00,0.70
